,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH )
2021-10-11 19:35:00,2021-10-11 19:33:36,2021-10-11 19:35:00,188,128.31,2.3,19,16
2021-10-11 19:40:00,2021-10-11 19:38:57,2021-10-11 19:40:00,189.7,129.47,2.3,20,17
2021-10-11 19:45:00,2021-10-11 19:44:19,2021-10-11 19:45:00,185.6,90.47,2.3,22,17
2021-10-11 19:50:00,2021-10-11 19:49:41,2021-10-11 19:50:00,185.7,90.52,2.3,24,19
2021-10-11 19:55:00,2021-10-11 19:55:03,2021-10-11 19:55:00,198.5,193.53,2.3,27,18
2021-10-11 20:00:00,2021-10-11 20:00:25,2021-10-11 20:00:00,186.6,90.96,2.3,22,18
2021-10-11 20:05:00,2021-10-11 20:05:47,2021-10-11 20:05:00,229.2,268.16,2.3,22,18
2021-10-11 20:10:00,2021-10-11 20:11:09,2021-10-11 20:10:00,190.6,130.08,2.4,22,18
2021-10-11 20:15:00,2021-10-11 20:16:31,2021-10-11 20:15:00,238.7,349.09,2.4,22,18
2021-10-11 20:20:00,2021-10-11 20:21:53,2021-10-11 20:20:00,224.5,262.66,2.4,20,18
2021-10-11 20:25:00,2021-10-11 20:27:15,2021-10-11 20:25:00,263.7,514.21,2.4,25,21
2021-10-11 20:35:00,2021-10-11 20:32:44,2021-10-11 20:35:00,188.6,91.94,2.5,22,15
2021-10-11 20:40:00,2021-10-11 20:38:05,2021-10-11 20:40:00,196.1,191.19,2.5,20,17
2021-10-11 20:45:00,2021-10-11 20:43:27,2021-10-11 20:45:00,231,337.83,2.5,24,18
2021-10-11 20:50:00,2021-10-11 20:48:49,2021-10-11 20:50:00,197.2,153.81,2.5,24,18
2021-10-11 20:55:00,2021-10-11 20:54:11,2021-10-11 20:55:00,185.3,36.13,2.5,19,15
2021-10-11 21:00:00,2021-10-11 20:59:32,2021-10-11 21:00:00,210.7,205.43,2.6,17,14
2021-10-11 21:05:00,2021-10-11 21:04:54,2021-10-11 21:05:00,207,201.82,2.6,19,15
2021-10-11 21:10:00,2021-10-11 21:10:16,2021-10-11 21:10:00,231.8,339,2.6,19,16
2021-10-11 21:15:00,2021-10-11 21:15:38,2021-10-11 21:15:00,190.3,129.87,2.6,20,16
2021-10-11 21:20:00,2021-10-11 21:21:00,2021-10-11 21:20:00,232.6,340.17,2.6,20,14
2021-10-11 21:25:00,2021-10-11 21:26:24,2021-10-11 21:25:00,184.5,35.97,2.6,20,16
