,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round,Curve_Iteration
11/23/2021 12:45,11/23/2021 12:42,11/23/2021 12:45,242.8,426.11,1.4,25,19,6,430,240,2
11/23/2021 12:50,11/23/2021 12:48,11/23/2021 12:50,228.6,334.32,1.4,28,22,6,330,230,2
11/23/2021 12:55,11/23/2021 12:53,11/23/2021 12:55,264.8,645.44,1.4,36,27,6,650,260,2
11/23/2021 13:00,11/23/2021 12:59,11/23/2021 13:00,193,188.17,1.5,30,25,6,190,190,2
11/23/2021 13:05,11/23/2021 13:04,11/23/2021 13:05,211.5,247.45,1.5,28,21,6,250,210,2
11/23/2021 13:10,11/23/2021 13:09,11/23/2021 13:10,275.1,724.2,1.6,28,22,6,720,280,2
11/23/2021 13:15,11/23/2021 13:15,11/23/2021 13:15,182.7,0,1.6,32,25,6,0,180,2
11/23/2021 13:20,11/23/2021 13:20,11/23/2021 13:20,223.1,261.02,1.6,27,20,6,260,220,2
11/23/2021 13:25,11/23/2021 13:25,11/23/2021 13:25,242,424.71,1.6,28,17,6,420,240,2
11/23/2021 13:30,11/23/2021 13:31,11/23/2021 13:30,277.6,811.98,1.7,32,27,6,810,280,2
11/23/2021 13:35,11/23/2021 13:36,11/23/2021 13:35,186.3,90.82,1.7,32,26,6,90,190,2
11/23/2021 13:40,11/23/2021 13:41,11/23/2021 13:40,258.1,553.62,1.7,38,28,6,550,260,2
11/23/2021 13:45,11/23/2021 13:47,11/23/2021 13:45,231,337.83,1.8,32,26,6,340,230,2
11/23/2021 13:55,11/23/2021 13:52,11/23/2021 13:55,236.8,392.49,1.8,32,25,6,390,240,2
11/23/2021 14:00,11/23/2021 13:58,11/23/2021 14:00,219.5,256.81,1.9,33,28,6,260,220,2
11/23/2021 14:05,11/23/2021 14:03,11/23/2021 14:05,247.1,481.84,1.9,27,22,6,480,250,2
11/23/2021 14:10,11/23/2021 14:08,11/23/2021 14:10,168.1,0,2,33,23,6,0,170,2
11/23/2021 14:15,11/23/2021 14:14,11/23/2021 14:15,208.2,223.29,2,32,23,6,220,210,2
11/23/2021 14:20,11/23/2021 14:19,11/23/2021 14:20,206.6,201.43,2,25,20,6,200,210,2
11/23/2021 14:25,11/23/2021 14:24,11/23/2021 14:25,211.8,227.15,2,36,28,6,230,210,2
11/23/2021 14:30,11/23/2021 14:30,11/23/2021 14:30,237.7,393.98,2.1,32,25,6,390,240,2
11/23/2021 14:35,11/23/2021 14:35,11/23/2021 14:35,245.2,478.14,2.1,36,27,6,480,250,2
11/23/2021 14:40,11/23/2021 14:40,11/23/2021 14:40,263.2,590.22,2.2,36,32,6,590,260,2
11/23/2021 14:45,11/23/2021 14:46,11/23/2021 14:45,183.7,35.82,2.2,36,26,6,40,180,2
11/23/2021 14:50,11/23/2021 14:51,11/23/2021 14:50,300,1082.25,2.3,40,29,6,1080,300,2
11/23/2021 14:55,11/23/2021 14:56,11/23/2021 14:55,233,340.76,2.3,36,28,6,340,230,2
11/23/2021 15:00,11/23/2021 15:02,11/23/2021 15:00,250.6,513.1,2.4,35,26,6,510,250,2
11/23/2021 15:10,11/23/2021 15:07,11/23/2021 15:10,227.2,332.28,2.4,41,29,6,330,230,2
11/23/2021 15:15,11/23/2021 15:13,11/23/2021 15:15,185.1,0,2.4,33,27,6,0,190,2
11/23/2021 15:20,11/23/2021 15:18,11/23/2021 15:20,234.2,388.18,2.5,40,30,6,390,230,2
11/23/2021 15:25,11/23/2021 15:23,11/23/2021 15:25,306.5,1195.35,2.5,32,26,6,1200,310,2
11/23/2021 15:30,11/23/2021 15:29,11/23/2021 15:30,190.2,129.81,2.6,38,30,6,130,190,2
11/23/2021 15:35,11/23/2021 15:34,11/23/2021 15:35,190.6,148.66,2.6,33,26,6,150,190,2
11/23/2021 15:40,11/23/2021 15:39,11/23/2021 15:40,182,0,2.6,38,32,6,0,180,2
11/23/2021 15:45,11/23/2021 15:45,11/23/2021 15:45,292.1,911.35,2.7,46,29,6,910,290,2
11/23/2021 15:50,11/23/2021 15:50,11/23/2021 15:50,291.6,909.79,2.8,33,27,6,910,290,2
11/23/2021 15:55,11/23/2021 15:55,11/23/2021 15:55,192.3,131.24,2.8,32,26,6,130,190,2
11/23/2021 16:00,11/23/2021 16:01,11/23/2021 16:00,210.6,246.4,2.8,28,23,6,250,210,2
11/23/2021 16:05,11/23/2021 16:06,11/23/2021 16:05,173.2,0,2.8,25,20,6,0,170,2
11/23/2021 16:10,11/23/2021 16:11,11/23/2021 16:10,201.2,196.17,2.9,30,22,6,200,200,2
11/23/2021 16:15,11/23/2021 16:17,11/23/2021 16:15,210.5,225.76,2.9,32,22,6,230,210,2
11/23/2021 16:25,11/23/2021 16:22,11/23/2021 16:25,236.7,392.33,2.9,30,22,6,390,240,2
11/23/2021 16:30,11/23/2021 16:30,11/23/2021 16:30,184.1,35.89,2.9,28,21,6,40,180,2
11/23/2021 16:35,11/23/2021 16:36,11/23/2021 16:35,187.1,91.21,2.9,25,20,6,90,190,2
11/23/2021 16:40,11/23/2021 16:41,11/23/2021 16:40,203.1,198.02,3,25,20,6,200,200,2
11/23/2021 16:45,11/23/2021 16:47,11/23/2021 16:45,186.6,90.96,3,20,16,6,90,190,2
11/23/2021 16:50,11/23/2021 16:52,11/23/2021 16:50,209.6,204.35,3,28,20,6,200,210,2
11/23/2021 17:00,11/23/2021 16:57,11/23/2021 17:00,202.7,197.63,3,25,21,6,200,200,2
11/23/2021 17:05,11/23/2021 17:03,11/23/2021 17:05,227.8,333.15,3,28,23,6,330,230,2
11/23/2021 17:10,11/23/2021 17:08,11/23/2021 17:10,187.2,109.51,3,28,22,6,110,190,2
11/23/2021 17:15,11/23/2021 17:13,11/23/2021 17:15,161.3,0,3,30,23,6,0,160,2
11/23/2021 17:20,11/23/2021 17:19,11/23/2021 17:20,222.7,260.55,3,30,23,6,260,220,2
